1898594,Bohdan Stader,M,Business Administration,3.8,International,True,Bohdan_Stader,Bohdan_Stader0
1898595,Randy Vanosdol,M,Nuclear Engineering,3.8,Other Hispanic/Latino,True,Randy_Vanosdol,Randy_Vanosdol1
1898596,Gregory Jaskolka,M,Ethnic Studies,3.03,Korean,False,Gregory_Jaskolka,Gregory_Jaskolka2
1898597,Martha Prosch,F,Cognitive Science,3.31,Decline to State,False,Martha_Prosch,Martha_Prosch3
1898598,William Neel,M,Media Studies,2.65,Decline to State,False,William_Neel,William_Neel4
1898599,Rickey Malm,M,Architecture,3.01,Mexican American/Chicano,True,Rickey_Malm,Rickey_Malm5
1898600,William Plummer,M,Comparative Literature,3.56,African American/Black,False,William_Plummer,William_Plummer6
1898601,Kristine Wallace,F,Chinese Language,2.22,Fillipino,False,Kristine_Wallace,Kristine_Wallace7
1898602,Mildred Schlemmer,F,American Studies,3.35,Vietnamese,False,Mildred_Schlemmer,Mildred_Schlemmer8
1898603,Julian Youngstrom,M,Comparative Literature,2.32,Japanese,True,Julian_Youngstrom,Julian_Youngstrom9
1898604,Chris Prible,F,Cognitive Science,2.14,African American/Black,True,Chris_Prible,Chris_Prible10
1898605,Stanley Calrk,M,Chemistry,3.8,Chinese,False,Stanley_Calrk,Stanley_Calrk11
1898606,Anne Molt,F,L&S Public Health,2.1,Vietnamese,False,Anne_Molt,Anne_Molt12
1898607,Diana Seeds,F,Peace & Conflict Studies,2.75,Decline to State,True,Diana_Seeds,Diana_Seeds13
1898608,Gerald Imaizumi,M,Chicano Studies,3.43,Native American/Alaska Native,True,Gerald_Imaizumi,Gerald_Imaizumi14
1898609,Amanda Beckley,F,Peace & Conflict Studies,2.36,Chinese,False,Amanda_Beckley,Amanda_Beckley15
1898610,John Copier,M,L&S Legal Studies,3.64,South Asian,True,John_Copier,John_Copier16
1898611,Howard Basinger,M,Business Administration,2.97,Vietnamese,True,Howard_Basinger,Howard_Basinger17
1898612,William Hazard,M,Art,2.04,Other Hispanic/Latino,False,William_Hazard,William_Hazard18
1898613,John Guido,M,Political Science,3.23,South Asian,True,John_Guido,John_Guido19
1898614,Arbell Turlich,F,Comparative Literature,3.66,Vietnamese,True,Arbell_Turlich,Arbell_Turlich20
1898615,Michael Hagaman,M,Architecture,4.0,Mexican American/Chicano,True,Michael_Hagaman,Michael_Hagaman21
1898616,Sara Wasilko,F,Chemical Engineering,3.7,Pacific Islander,False,Sara_Wasilko,Sara_Wasilko22
1898617,June Mccluskey,F,Computer Science,3.19,Japanese,False,June_Mccluskey,June_Mccluskey23
1898618,Grant Staschke,M,German,2.57,Decline to State,False,Grant_Staschke,Grant_Staschke24
1898619,Chris Swantek,M,Civil Engineering,3.43,International,False,Chris_Swantek,Chris_Swantek25
1898620,David Musumeci,M,Rhetoric,3.03,Other Hispanic/Latino,True,David_Musumeci,David_Musumeci26
1898621,Carmen Twiet,F,Linguistics,2.93,Native American/Alaska Native,False,Carmen_Twiet,Carmen_Twiet27
1898622,Lauren Dacpano,F,Materials Science & Eng,3.35,African American/Black,False,Lauren_Dacpano,Lauren_Dacpano28
1898623,Marion Thelen,M,Theater & Perf Studies,3.96,Pacific Islander,True,Marion_Thelen,Marion_Thelen29
1898624,Ollie Mokiao,F,South & SE Asian Studies,3.37,Other Asian,True,Ollie_Mokiao,Ollie_Mokiao30
1898625,John Sobeski,M,Theater & Perf Studies,2.83,Decline to State,True,John_Sobeski,John_Sobeski31
1898626,Gregory Chovanec,M,Business Administration,4.0,Fillipino,False,Gregory_Chovanec,Gregory_Chovanec32
1898627,Eviana Adels,F,Art,3.84,Pacific Islander,True,Eviana_Adels,Eviana_Adels33
